Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Neftali Feliz,2 Tms,2,9,4.5,4.5,1,4.5,0.11111111,0.11111111,0,0.25,1.5,0.16666667,0,10.17003412,8.080939439,18
Tommy Hunter,NYM,4.2,19,3.85714285,5.78571428,0.66666667,0,0.10526316,0.15789474,-0.05263158,0.13333333,1.07142857,0.14285714,1,4.241462692,5.753773086,1157
Andrew Romine,CHC,0.2,3,0,0,0,13.49999993,0,0,0,0.33333333,1.49999999,0,1,22.67003402,8.463120476,1159
Matt Bush,TEX,2.1,11,7.71428573,0,2,11.57142859,0.18181818,0,0.18181818,0.36363636,1.71428572,0.16666667,1,18.17003414,5.992679595,1246
Adam Ottavino,BOS,41.1,175,9.58064516,5.22580645,1.83333333,1.08870968,0.25142857,0.13714286,0.11428571,0.21917808,1.35483871,0.27272727,0.78846154,4.573259932,4.964243586,1247
Oliver Perez,CLE,2.1,12,15.42857145,3.85714286,4,0,0.33333333,0.08333333,0.25,0.27272727,1.71428572,0.42857143,0.75,1.027176972,1.783332175,1514
Sean Doolittle,2 Tms,25.1,124,8.17105263,5.68421053,1.4375,1.77631579,0.18548387,0.12903226,0.05645161,0.28846154,1.81578947,0.32051282,0.85365854,6.051613072,6.689533774,1581
Matt Moore,PHI,50.1,234,7.86754967,5.36423841,1.46666667,2.14569536,0.18803419,0.12820513,0.05982906,0.26666667,1.62913907,0.2739726,0.625,6.428312272,5.747669621,1890
Zack Greinke,HOU,98.1,422,6.86440678,1.9220339,3.57142857,2.01355932,0.17772512,0.04976303,0.12796209,0.28535354,1.36271186,0.3013245,0.73193916,5.254779882,4.463539861,1943
Clayton Kershaw,LAD,85,353,11.32941176,1.58823529,7.13333333,1.48235294,0.30311615,0.04249292,0.26062323,0.24169184,1.11764706,0.30841121,0.75255102,3.428857652,2.80295689,2036
David Peralta,ARI,0.2,6,0,0,0,0,0,0,0,0.5,4.49999998,0.5,1,3.170034122,5.816577299,2136
Adam Wainwright,STL,101.1,400,7.81578947,2.13157895,3.66666667,0.97697368,0.22,0.06,0.16,0.20923913,0.99671053,0.24175824,0.80357143,3.673323592,3.689879791,2233
Corey Kluber,NYY,48,207,8.25,4.5,1.83333333,1.5,0.21256039,0.11594203,0.09661836,0.26666667,1.5,0.31007752,0.74840764,5.128367452,4.873093093,2429
Lance Lynn,CHW,80.2,316,10.26446281,1.56198347,6.57142857,0.89256198,0.29113924,0.0443038,0.24683544,0.19191919,0.88016529,0.24378109,0.82236842,2.736149822,3.284163279,2520
Jhoulys Chacin,COL,32,131,7.3125,2.53125,2.88888889,1.40625,0.19847328,0.06870229,0.12977099,0.24166667,1.1875,0.26373626,0.51612903,4.420034122,3.877464667,2608
Ross Detwiler,2 Tms,31.2,137,11.65263158,2.84210526,4.1,2.27368421,0.29927007,0.0729927,0.22627737,0.21311475,1.13684211,0.24324324,0.625,5.191086752,4.191260876,2859
Luis Avilan,WSN,3.1,20,8.10000001,8.10000001,1,2.7,0.15,0.15,0,0.33333333,2.4,0.33333333,0.65789474,8.870034132,7.616577317,2882
Mitch Moreland,OAK,0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.170034122,13.75620699,3086
Kenley Jansen,LAD,35.1,142,12.2264151,5.3490566,2.28571429,0.25471698,0.33802817,0.14788732,0.19014085,0.13559322,1.04716981,0.21126761,0.79234973,2.688902042,4.168564274,3096
Tony Watson,2 Tms,34.2,136,5.97115385,2.85576923,2.09090909,0.51923077,0.16911765,0.08088235,0.0882353,0.192,1.00961538,0.22,0.55900621,3.545034122,4.830836577,3132
Max Scherzer,2 Tms,91.2,342,12.56727273,0.98181818,12.8,1.27636364,0.37426901,0.02923977,0.34502924,0.17737003,0.74181818,0.24064171,0.85501859,2.679125032,2.567771483,3137
David Price,LAD,47,206,7.27659574,3.25531915,2.23529412,1.14893617,0.18446602,0.08252427,0.10194175,0.27027027,1.42553191,0.30344828,0.75085324,4.297693692,4.402481355,3184
Will Harris,WSN,3,19,15,6,2.5,3,0.26315789,0.10526316,0.15789473,0.35294118,2.66666667,0.45454545,0.45454545,6.170034122,4.189183625,3192
Ervin Santana,KCR,39.1,161,6.86440678,2.05932203,3.33333333,0.45762712,0.1863354,0.05590062,0.13043478,0.24832215,1.16949153,0.29661017,0.61946903,3.144610392,4.412430007,3200
T.J. McFarland,STL,23.2,95,3.42253521,3.04225352,1.125,0.38028169,0.09473684,0.08421053,0.01052631,0.27586207,1.35211268,0.2987013,0.8496732,3.972851022,4.765464472,3237
Zack Britton,NYY,13,59,5.53846154,6.92307692,0.8,1.38461538,0.13559322,0.16949153,-0.03389831,0.29166667,1.84615385,0.30769231,0.51886792,6.246957202,5.468438672,3240
Joe Smith,2 Tms,28.2,129,8.1627907,2.19767442,3.71428571,1.56976744,0.20155039,0.05426357,0.14728682,0.31355932,1.53488372,0.35955056,0.76923077,4.565382962,3.590438936,3281
Charlie Culberson,TEX,1.1,5,0,0,0,0,0,0,0,0.4,1.5,0.4,1,3.170034122,5.816577319,3298
Darren O'Day,NYY,7,32,5.14285714,2.57142857,2,1.28571429,0.125,0.0625,0.0625,0.27586207,1.42857143,0.29166667,0.9375,5.170034122,5.833408589,3321
Anthony Rizzo,CHC,0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,1,12.17003421,12.17003421,3473
Danny Duffy,KCR,49.1,203,8.93918919,3.46621622,2.57894737,0.5472973,0.24137931,0.09359606,0.14778325,0.22826087,1.23648649,0.29545455,0.80985915,3.129493582,4.341742482,3542
Liam Hendriks,CHW,34.1,135,14.41747573,1.04854369,13.75,1.57281553,0.40740741,0.02962963,0.37777778,0.21538462,0.93203884,0.31428571,0.76271186,2.587509852,2.114286776,3548
Josh Reddick,ARI,0.1,4,0,27.00000027,0,27.00000027,0,0.25,-0.25,0.66666667,9.00000009,0.5,1,51.1700346,17.46312065,3892
Yusmeiro Petit,OAK,46.2,191,4.24285714,1.15714286,3.66666667,1.15714286,0.11518325,0.03141361,0.08376964,0.24175824,1.07142857,0.24358974,0.72769953,4.348605552,5.21029689,4020
Hector Santiago,SEA,18.2,81,8.67857143,3.375,2.57142857,0.48214286,0.22222222,0.08641975,0.13580247,0.24324324,1.33928571,0.30909091,0.76271186,3.062891262,4.729447685,4026
Pedro Strop,CHC,1.2,7,10.79999998,5.39999999,2,0,0.28571429,0.14285714,0.14285715,0.16666667,1.2,0.25,1,2.570034122,2.570034124,4070
Derek Holland,DET,30.2,145,9.97826087,4.10869565,2.42857143,1.4673913,0.23448276,0.09655172,0.13793104,0.3046875,1.72826087,0.37362637,0.72340426,4.539599342,4.318641193,4141
Jake Arrieta,2 Tms,48,223,7.6875,2.4375,3.15384615,2.4375,0.1838565,0.05829596,0.12556054,0.32019704,1.625,0.33986928,0.46178344,5.982534122,4.299578004,4153
Rafael Dolis,TOR,20,97,9,7.2,1.25,0.9,0.20618557,0.16494845,0.04123712,0.24358974,1.75,0.29824561,0.78947368,5.170034122,5.546178143,4185
Mark Melancon,SDP,35.1,156,8.91509434,4.0754717,2.1875,1.01886792,0.22435897,0.1025641,0.12179487,0.28467153,1.55660377,0.35,0.77380952,4.103996382,3.93060248,4264
Justin Wilson,2 Tms,23.1,99,8.48571429,4.62857143,1.83333333,1.54285714,0.22222222,0.12121212,0.1010101,0.19767442,1.24285714,0.21311475,0.55555556,5.055748412,5.020027051,4301
Tyler Chatwood,2 Tms,20.2,88,10.4516129,3.91935484,2.66666667,0.87096774,0.27272727,0.10227273,0.17045454,0.2,1.16129032,0.26530612,0.51587302,3.992614772,3.844390944,4338
Jordan Zimmermann,MIL,3,15,0,3,0,3,0,0.06666667,-0.06666667,0.38461538,2,0.33333333,0.53571429,9.503367452,7.522516958,4505
Charlie Morton,ATL,96,398,9.375,2.90625,3.22580645,0.84375,0.25125628,0.07788945,0.17336683,0.22128852,1.14583333,0.27559055,0.63116371,3.399200792,3.46696484,4676
Nate Jones,2 Tms,13.2,55,7.24390244,3.29268293,2.2,1.97560976,0.2,0.09090909,0.10909091,0.16326531,0.95121951,0.13888889,0.45454545,5.511497532,5.239832356,4696
Matt Shoemaker,MIN,33,145,6.27272727,3,2.09090909,1.90909091,0.15862069,0.07586207,0.08275862,0.264,1.33333333,0.25742574,0.53763441,5.806397762,4.70625309,4776
Rich Hill,2 Tms,118.2,495,8.41853933,2.73033708,3.08333333,1.44101124,0.22424242,0.07272727,0.15151515,0.25056433,1.23876405,0.29022082,0.77794562,4.594191422,4.638886236,4806
Scott Kazmir,SFG,8.1,37,8.64,4.32,2,1.08,0.21621622,0.10810811,0.10810811,0.27272727,1.56,0.33333333,0.77586207,4.250034122,4.383821764,4897
Jon Lester,2 Tms,109,496,5.94495413,3.96330275,1.5,1.81651376,0.14516129,0.09677419,0.0483871,0.29545455,1.63302752,0.30681818,0.73726542,5.848933202,5.199870631,4930
Asdrubal Cabrera,ARI,0.2,3,0,0,0,0,0,0,0,0.33333333,1.49999999,0.33333333,1,3.170034122,8.463120476,4962
Fernando Abad,BAL,11.1,47,4.76470588,3.17647059,1.5,0.79411765,0.12765957,0.08510638,0.04255319,0.25581395,1.32352941,0.27777778,0.44117647,4.317092942,4.726824235,4994
Jake Diekman,OAK,38.2,159,11.87068965,3.95689655,3,2.09482759,0.32075472,0.10691824,0.21383648,0.2,1.1637931,0.2345679,0.71856287,4.954516882,4.118897452,5003
Anthony Gose,CLE,5,18,12.6,1.8,7,0,0.38888889,0.05555556,0.33333333,0.11764706,0.6,0.2,0.66666667,0.970034122,2.028651398,5097
